;Rank;Rider;Team;Times;Gap;B;P;Stages;Ranking type;Points;Checkpoint;Year;Distance (km);Number of stages;ResultType;TotalSeconds;GapSeconds
457870;70;RIGOBERTO URAN;EF EDUCATION - EASYPOST;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457871;71;MARC SOLER;UAE TEAM EMIRATES;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457872;72;VICTOR CAMPENAERTS;LOTTO DSTNY;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457873;73;DYLAN VAN BAARLE;JUMBO-VISMA;04h 29' 52'';+ 00h 07' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16192;423
457874;74;MICHAL KWIATKOWSKI;INEOS GRENADIERS;04h 29' 52'';+ 00h 07' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16192;423
457875;75;AURÉLIEN PARET PEINTRE;AG2R CITROEN TEAM;04h 29' 52'';+ 00h 07' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16192;423
457876;76;PIERRE LATOUR;TOTALENERGIES;04h 29' 52'';+ 00h 07' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16192;423
457877;77;BINIAM GIRMAY;INTERMARCHÉ - CIRCUS - WANTY;04h 29' 52'';+ 00h 07' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16192;423
457878;78;QUINTEN HERMANS;ALPECIN-DECEUNINCK;04h 29' 52'';+ 00h 07' 03'';;;1;Individual (Stage);;;2023;3404;21;time;16192;423
457879;79;NATHAN VAN HOOYDONCK;JUMBO-VISMA;04h 30' 18'';+ 00h 07' 29'';;;1;Individual (Stage);;;2023;3404;21;time;16218;449
457880;8;MATTIAS SKJELMOSE;LIDL - TREK;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457881;80;RUI COSTA;INTERMARCHÉ - CIRCUS - WANTY;04h 31' 25'';+ 00h 08' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16285;516
457882;81;ANTHONY DELAPLACE;TEAM ARKEA - SAMSIC;04h 31' 25'';+ 00h 08' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16285;516
